"gene.pair","MFR.value","type"
"O43633_O95863",0.538295352091435,"negative"
"O14920_O95999",0.749071417666568,"positive"
"O14836_P01106",0.586879369941522,"negative"
"P01106_P01111",0.593165630473232,"negative"
"O43566_P01112",0.695871904627473,"positive"
"O43924_P01116",0.596986202159375,"positive"
"O76074_P01137",0.635637336757703,"negative"
"O14964_P01308",0.6251032571125,"negative"
"O15085_P01308",0.682498442552503,"negative"
"O15145_P01308",0.523539989270573,"negative"
"O15318_P01375",0.624344576060549,"negative"
"P01374_P01375",0.785097126476877,"positive"
"O95257_P01569",0.520407526242656,"negative"
"O75340_P01574",0.651488864810323,"negative"
"O43505_P01588",0.509197157153399,"negative"
"O75529_P01588",0.569048067961686,"negative"
"O95835_P01588",0.660025456102049,"negative"
"O14625_P01589",0.666840778415814,"negative"
"O15160_P01589",0.533780284623339,"negative"
"P01100_P01912",0.605279803958682,"negative"
"P01584_P01912",0.608956503802289,"negative"
"P01903_P01912",0.799223865186667,"positive"
"P02489_P02511",0.636069896124173,"positive"
"O76074_P02649",0.564810094827677,"negative"
"O75396_P02675",0.57301756292952,"negative"
"O43716_P02743",0.457935055919477,"negative"
"O15269_P02775",0.475667229984645,"negative"
"O75367_P02775",0.503484879919822,"negative"
"O00763_P02778",0.566747693259411,"negative"
"O00203_P02787",0.498954837636265,"negative"
"P02786_P02787",0.645650378233898,"positive"
"P02786_P02794",0.718835642506571,"positive"
"O00585_P04049",0.63751815320057,"negative"
"O14807_P04049",0.501966901246403,"positive"
"P01111_P04049",0.559585185179122,"positive"
"P01112_P04049",0.687789224240667,"positive"
"P01116_P04049",0.740716179811947,"positive"
"O95639_P04141",0.555750592380674,"negative"
"O43809_P04180",0.547246543696207,"negative"
"P02647_P04180",0.744270244987549,"positive"
"O75822_P05019",0.55400524031107,"negative"
"P04049_P05091",0.526343172119787,"negative"
"O00203_P05112",0.551770740204618,"negative"
"O15455_P05165",0.659792043561544,"negative"
"O75462_P05165",0.560655802625175,"negative"
"P05165_P05166",0.633944030823179,"positive"
"P01100_P05412",0.810969390033126,"positive"
"O15318_P05423",0.803134717924921,"positive"
"P01912_P05423",0.492653441373104,"negative"
"O43739_P06213",0.72061547830163,"positive"
"P01308_P06213",0.7149838955256,"positive"
"O00716_P06400",0.676398419478139,"positive"
"O75925_P06401",0.606215470748192,"positive"
"O75293_P06493",0.589953501779887,"positive"
"O95257_P06493",0.608730627816422,"positive"
"O95835_P06493",0.676231181303669,"positive"
"O00330_P06702",0.46564085788333,"negative"
"P05109_P06702",0.916124943730764,"positive"
"O43432_P06730",0.636796711774145,"positive"
"O15372_P07333",0.523091266871373,"negative"
"O14920_P07900",0.734303647944612,"positive"
"O15111_P07900",0.744589180653504,"positive"
"P04150_P07900",0.683088049348192,"positive"
"P06401_P07900",0.524331992866931,"positive"
"O14798_P07948",0.603279979543916,"negative"
"P02647_P07992",0.60280895190233,"negative"
"O95817_P07996",0.672891657218921,"negative"
"P05019_P08069",0.73550352917185,"positive"
"P01138_P08138",0.67726038846817,"positive"
"P07947_P08476",0.597512099307493,"negative"
"O95822_P08514",0.537858193726324,"negative"
"P05106_P08514",0.796858005823105,"positive"
"P08151_P08514",0.690250851133409,"negative"
"O60603_P08571",0.861300013037678,"positive"
"O75376_P08581",0.654376664530802,"negative"
"P08151_P08648",0.643841437596774,"negative"
"O14640_P08700",0.554647177081849,"negative"
"O14836_P08700",0.582116070116235,"negative"
"O75385_P08700",0.610138606652899,"negative"
"P05231_P08887",0.737653212591202,"positive"
"P08887_P09467",0.677428385304291,"negative"
"P07333_P09603",0.755364699347971,"positive"
"O75581_P09619",0.734618307479016,"positive"
"P01127_P09619",0.766742169715171,"positive"
"O00330_P09622",0.740134156564035,"positive"
"O60573_P09651",0.64599064793526,"negative"
"P01236_P09651",0.509976779186979,"negative"
"P01138_P09661",0.506627004083429,"negative"
"P04085_P09661",0.520975266546576,"negative"
"O15467_P09769",0.570898268014176,"negative"
"O95750_P09769",0.639515911628721,"negative"
"P07900_P09769",0.557429560604472,"positive"
"O14686_P10275",0.744181848614137,"positive"
"O43294_P10275",0.716859407854512,"positive"
"P05412_P10275",0.743998174616195,"positive"
"P07900_P10275",0.60148344539499,"positive"
"P08238_P10275",0.639745693483679,"positive"
"O75376_P10276",0.697528187286714,"positive"
"P01112_P10398",0.72338304240656,"positive"
"P04049_P10398",0.715568980705913,"positive"
"P04049_P10415",0.737397631652654,"positive"
"O60934_P10515",0.574423205425061,"negative"
"P04049_P10515",0.4776791372655,"negative"
"O60907_P10644",0.533276923941612,"negative"
"O15143_P10721",0.53323017998554,"negative"
"O75821_P10721",0.559101955725736,"negative"
"P07900_P10809",0.710767985029063,"positive"
"P02775_P10828",0.506020845976336,"negative"
"O75533_P10912",0.515771856981577,"negative"
"P01241_P10912",0.685225968879822,"positive"
"O60934_P11487",0.578376082244648,"negative"
"P01375_P11498",0.620306860153431,"negative"
"P07900_P11802",0.743673649521482,"positive"
"O14807_P11831",0.589207529207427,"negative"
"P06730_P11940",0.601392097860889,"positive"
"O95257_P12004",0.613527551130102,"positive"
"P10828_P12081",0.47799028043215,"negative"
"O95639_P12235",0.645369741765287,"negative"
"P05231_P12235",0.647002360802762,"negative"
"O00560_P12931",0.590274099820154,"positive"
"P07900_P12931",0.560887742216064,"positive"
"O15269_P13010",0.564011398649696,"negative"
"O76064_P13010",0.776492908969768,"positive"
"P12956_P13010",0.822321573407688,"positive"
"P02741_P13051",0.480892250411645,"negative"
"O75293_P13232",0.517825699633932,"negative"
"O95149_P13232",0.53712434801551,"negative"
"O14745_P13569",0.614286518107834,"positive"
"O14798_P13569",0.526721636304996,"negative"
"P01138_P13569",0.692580685031863,"negative"
"P01579_P13569",0.700472690523945,"negative"
"P05107_P13598",0.76299958900282,"positive"
"P09919_P13598",0.569928245631644,"negative"
"P11473_P13612",0.660265997290798,"negative"
"P12956_P13693",0.69168599040105,"positive"
"P13010_P13693",0.648606335047009,"positive"
"O75293_P13725",0.661598240774414,"negative"
"P05231_P13725",0.712009551303488,"positive"
"O43432_P13726",0.554273354043482,"negative"
"P08709_P13726",0.682200491763897,"positive"
"P08151_P13747",0.614196820616661,"negative"
"O75533_P14621",0.528376923307643,"negative"
"P05165_P14621",0.646580467350367,"negative"
"P06493_P14635",0.845921649584223,"positive"
"P01584_P14778",0.656253269842897,"positive"
"P09619_P14778",0.774380916846877,"positive"
"O14980_P14780",0.492748485475491,"negative"
"P01589_P14784",0.755653289975231,"positive"
"O14686_P15018",0.67026415984568,"negative"
"P10809_P15104",0.670027085392495,"positive"
"O14939_P15153",0.589305700379005,"positive"
"O95407_P15153",0.599608740645413,"negative"
"P01579_P15260",0.653917854921087,"positive"
"P10644_P15260",0.692915187154351,"negative"
"O95863_P15498",0.596105659240474,"negative"
"O14625_P15531",0.602061773919413,"negative"
"O14836_P15559",0.548039708434839,"negative"
"P12034_P15559",0.618899286879542,"negative"
"P05112_P15927",0.515886634500669,"negative"
"P12956_P15927",0.795836971286669,"positive"
"P13051_P15927",0.75298665185265,"positive"
"P06400_P15976",0.703799467399544,"positive"
"O15269_P16066",0.518340548049463,"negative"
"P12034_P16066",0.650658287511427,"negative"
"P11831_P16152",0.589397395392149,"negative"
"P02787_P16220",0.595314956928115,"negative"
"P08620_P16220",0.626170814936111,"negative"
"O15269_P16234",0.601038793282021,"negative"
"P01127_P16234",0.71330637949472,"positive"
"P04085_P16234",0.70279495693994,"positive"
"P12643_P16234",0.705826380767653,"negative"
"O00401_P16333",0.681508103627953,"positive"
"O14625_P16333",0.650318018027671,"negative"
"O60942_P16333",0.717029962588329,"positive"
"O00592_P16581",0.700395364553376,"positive"
"O14746_P16581",0.623467608246922,"negative"
"O15145_P16581",0.52225104083058,"negative"
"O96000_P16581",0.476744115728873,"negative"
"P06731_P16581",0.753857118816232,"positive"
"O75462_P17301",0.639606638508001,"negative"
"P06400_P17542",0.664478822030236,"positive"
"P09486_P17542",0.605415815877628,"negative"
"P01106_P17693",0.669922453199358,"negative"
"O00716_P17707",0.627296328881922,"negative"
"P17707_P17844",0.646122992227244,"negative"
"O14514_P17936",0.526111210157926,"negative"
"P05019_P17936",0.732700976135683,"positive"
"P06213_P18031",0.670585986769366,"positive"
"O43505_P18074",0.631927196804324,"negative"
"P08571_P18428",0.705346406813606,"positive"
"O43889_P18509",0.611348558015948,"negative"
"P14778_P18510",0.72320799424346,"positive"
"O15085_P18564",0.577324286893346,"negative"
"O00763_P18827",0.542131906148356,"negative"
"O75056_P18827",0.66448344183878,"positive"
"P05412_P18847",0.708540566895651,"positive"
"P10147_P18847",0.675294624252409,"negative"
"P01100_P18848",0.646762777813993,"positive"
"P05412_P18848",0.718618630584879,"positive"
"P18847_P18848",0.641089365417573,"positive"
"P01138_P18850",0.687618472348849,"negative"
"P05165_P18858",0.55000551065145,"negative"
"P13726_P18858",0.512498066910927,"negative"
"P09619_P19174",0.740924591645011,"positive"
"P01588_P19235",0.5957717376855,"positive"
"O14640_P19387",0.695402431771335,"negative"
"O15514_P19387",0.798749150616345,"positive"
"O43143_P19387",0.736174794474307,"positive"
"P13984_P19387",0.670938824835477,"positive"
"P19387_P19388",0.807186772066056,"positive"
"O95219_P19447",0.676124649713833,"negative"
"P18074_P19447",0.793198928466505,"positive"
"P19387_P19447",0.830516650661206,"positive"
"O14862_P19525",0.72485757621989,"positive"
"P05198_P19525",0.721974608082947,"positive"
"O95822_P19793",0.593594864101877,"negative"
"P10276_P19793",0.791477092372902,"positive"
"P11473_P19793",0.802318605145195,"positive"
"O00505_P19838",0.658517248440794,"positive"
"O15111_P19838",0.7668645725541,"positive"
"P01241_P19838",0.593996705899336,"negative"
"O75396_P19875",0.52404560595621,"negative"
"P06493_P19875",0.54475697500856,"negative"
"P11498_P19876",0.537964525173081,"negative"
"P01100_P20226",0.590155460296254,"positive"
"P05412_P20226",0.611751381038723,"positive"
"P06401_P20226",0.551154153443062,"positive"
"P06493_P20248",0.780360727588048,"positive"
"P12004_P20248",0.730757666720732,"positive"
"P12931_P20248",0.70538999422775,"positive"
"P01374_P20333",0.69468942945382,"positive"
"P01375_P20333",0.798553133117246,"positive"
"O15379_P20393",0.669781451700153,"positive"
"O75376_P20393",0.717048674236259,"positive"
"P01730_P20585",0.589485001525442,"negative"
"P02647_P20585",0.637310316105832,"negative"
"O95863_P20701",0.559650431220186,"negative"
"P05362_P20701",0.800066163265863,"positive"
"P02743_P20702",0.630989164080067,"negative"
"P05107_P20702",0.761195038887229,"positive"
"P15104_P20702",0.52521776970543,"negative"
"O95835_P20783",0.631378218771973,"negative"
"P04839_P20783",0.519915063254878,"negative"
"O15357_P20827",0.637019091041765,"positive"
"O14836_P20936",0.590066680310086,"negative"
"P01112_P20936",0.722194806952929,"positive"
"P09619_P20936",0.69533249808793,"positive"
"P11473_P20936",0.599856344638496,"negative"
"O15160_P21333",0.624800755571915,"positive"
"P10275_P21333",0.650584535842773,"positive"
"P14416_P21333",0.697596470418025,"positive"
"O96020_P21589",0.574142131577973,"negative"
"P19875_P21589",0.577874463791466,"negative"
"O15151_P21673",0.503988399764791,"negative"
"P08581_P21673",0.553223448444176,"negative"
"P20809_P21673",0.450432009752443,"negative"
"O15357_P21709",0.629714629157746,"positive"
"O75293_P21709",0.596576240458221,"negative"
"P10415_P21796",0.673757991303797,"positive"
"P04626_P21860",0.789304795910289,"positive"
"P08581_P21860",0.710972455289969,"positive"
"P08588_P21917",0.789784291778196,"positive"
"O43684_P21953",0.665923701553209,"negative"
"P12694_P21953",0.788982154047381,"positive"
"O15160_P22087",0.734417998629495,"negative"
"P06213_P22301",0.674757140997188,"negative"
"O75367_P22362",0.585746863224733,"negative"
"P15153_P22362",0.60389085291961,"negative"
"O15085_P22607",0.652278752296298,"negative"
"P05230_P22607",0.747548734197373,"positive"
"P08620_P22607",0.683854619819768,"positive"
"P12034_P22607",0.676234489804715,"positive"
"P21781_P22607",0.758631712114595,"positive"
"P07948_P22681",0.687387433467028,"positive"
"P15498_P22681",0.710529337801693,"positive"
"P20783_P22681",0.66604216532211,"negative"
"O15145_P22736",0.551164794226125,"negative"
"P05019_P22736",0.717444120867765,"negative"
"P12235_P22736",0.652627359927871,"positive"
"O14964_P22830",0.497675404460907,"negative"
"O43924_P22830",0.53617159433955,"negative"
"P07992_P23025",0.747066917212949,"positive"
"P14784_P23025",0.55867383465058,"negative"
"P15927_P23025",0.693853054275148,"positive"
"P01138_P23458",0.623786567895435,"negative"
"P14784_P23458",0.731419496895707,"positive"
"O60573_P23528",0.634443032848036,"negative"
"P19875_P23763",0.524724944603453,"negative"
"O15243_P24385",0.579630661120286,"negative"
"O15379_P24385",0.699124504759288,"positive"
"P06493_P24385",0.713347153438607,"positive"
"P10275_P24385",0.791560692601486,"positive"
"P11802_P24385",0.798934629862831,"positive"
"P12830_P24385",0.743098211743179,"positive"
"P12931_P24385",0.717113994860447,"positive"
"P06493_P24522",0.725179715140044,"positive"
"P12004_P24522",0.758849332346335,"positive"
"O76064_P24593",0.598738343058345,"negative"
"P05019_P24593",0.782155100904832,"positive"
"P08151_P24593",0.642278031884075,"negative"
"P09874_P24593",0.563592035437936,"negative"
"O43915_P24723",0.619697369708329,"negative"
"P06493_P24864",0.814051726868748,"positive"
"P14780_P24864",0.639765526694828,"negative"
"O14798_P24928",0.506112668392126,"negative"
"P09341_P24928",0.522449205539331,"negative"
"P19387_P24928",0.792342941997455,"positive"
"O95835_P24941",0.672909773637743,"positive"
"P12004_P24941",0.757165535653936,"positive"
"P16435_P24941",0.629969965940073,"negative"
"P18858_P24941",0.724678408374001,"positive"
"P20248_P24941",0.812656383855319,"positive"
"P24385_P24941",0.740265707245594,"positive"
"P24864_P24941",0.808861266161981,"positive"
"P02775_P25025",0.711671533234872,"positive"
"P07992_P25025",0.575407386838499,"negative"
"P09341_P25025",0.644479489023374,"positive"
"P13236_P25025",0.663377118152324,"negative"
"P19875_P25025",0.656992236055498,"positive"
"P19876_P25025",0.580391774424962,"positive"
"O00330_P25098",0.506870501189366,"negative"
"O00254_P25116",0.623507022165087,"positive"
"P10809_P25325",0.625679929811256,"positive"
"P13765_P25325",0.506850202412379,"negative"
"O15551_P25774",0.58693913850105,"positive"
"P21953_P25942",0.592694781014138,"negative"
"O14920_P25963",0.799828288377723,"positive"
"O15111_P25963",0.773570144734848,"positive"
"P19838_P25963",0.811475476487612,"positive"
"P25098_P25963",0.728871863677057,"positive"
"P25789_P25963",0.635101239331714,"positive"
"P21333_P26010",0.70798328350854,"positive"
"P22362_P26368",0.670127041932171,"negative"
"P21860_P26651",0.628046306353771,"negative"
"P04180_P26718",0.554615314626057,"negative"
"P10599_P26718",0.480166910163526,"negative"
"P24522_P26718",0.51555060921625,"negative"
"P08700_P26951",0.62564990660506,"positive"
"P08620_P26992",0.718928243469931,"negative"
"P26441_P26992",0.747224255711727,"positive"
"P01584_P27037",0.658643322891523,"negative"
"P08476_P27037",0.705697680133141,"positive"
"P12643_P27037",0.78306161141688,"positive"
"O15243_P27348",0.446133702416588,"negative"
"P09874_P27361",0.696008449191626,"positive"
"O75821_P27487",0.540657037864918,"negative"
"P00813_P27487",0.673825795270531,"positive"
"P08575_P27487",0.655041851288791,"positive"
"P15927_P27694",0.842407014787911,"positive"
"P23025_P27694",0.737019985000122,"positive"
"P10599_P27695",0.754348208899453,"positive"
"P16066_P27708",0.589754819481971,"negative"
"P02675_P27797",0.666898247220461,"positive"
"P13747_P27797",0.603929770489571,"positive"
"P02775_P28161",0.51148340010283,"negative"
"P24941_P28161",0.553326050017673,"positive"
"O00303_P28223",0.521104644568645,"positive"
"O96000_P28223",0.492760634356704,"positive"
"P15104_P28223",0.576600809163979,"positive"
"P21781_P28223",0.693734941356176,"negative"
"P15104_P28472",0.540130029008406,"negative"
"P25789_P28472",0.447979696469969,"negative"
"O95863_P28482",0.583204678487312,"positive"
"P05412_P28482",0.603889185455299,"positive"
"P09874_P28482",0.675500122807106,"positive"
"O94817_P28749",0.541117782316094,"negative"
"O15123_P28827",0.768975307534939,"negative"
"O75533_P28827",0.529912970427411,"negative"
"P01111_P28827",0.510833698068657,"negative"
"P10515_P28827",0.53105966222327,"negative"
"P12830_P28827",0.658105235097636,"positive"
"P21549_P28827",0.552014131564135,"negative"
"P25325_P28827",0.506755741180019,"negative"
"P01106_P28845",0.48002450498746,"negative"
"P01100_P28908",0.580735774928651,"negative"
"O15357_P29317",0.601978402504961,"positive"
"P20827_P29317",0.833856741898142,"positive"
"O14672_P29320",0.604326745057357,"positive"
"P20585_P29320",0.672040098757754,"negative"
"O15371_P29459",0.528985976720174,"negative"
"P06731_P29459",0.569171250694259,"negative"
"P29459_P29460",0.756074267922633,"positive"
"P01579_P29475",0.649826078258515,"negative"
"O14514_P29597",0.559688678749232,"negative"
"O75462_P29597",0.561227121002727,"negative"
"P01106_P29965",0.661779515756478,"negative"
"P25942_P29965",0.801377330052951,"positive"
"P05231_P30101",0.5596607203198,"negative"
"P21917_P30101",0.480871855506141,"negative"
"P08709_P30153",0.50755895650402,"negative"
"O95997_P30260",0.688350702213654,"positive"
"P24385_P30260",0.723979305674936,"positive"
"P11802_P30279",0.683933543687145,"positive"
"P11802_P30281",0.582155225216657,"positive"
"O14757_P30304",0.854779496827152,"positive"
"P01112_P30304",0.695885015152532,"positive"
"P04049_P30304",0.538543225856931,"positive"
"P14635_P30304",0.790924037819193,"positive"
"P16520_P30304",0.567375618050437,"negative"
"O14757_P30307",0.8322921042418,"positive"
"P01138_P30876",0.520380002605774,"negative"
"P01375_P30876",0.614816255272219,"negative"
"P19387_P30876",0.65776282268092,"positive"
"O14746_P30989",0.749035125222619,"negative"
"O14893_P30990",0.608287218975243,"negative"
"O43809_P30990",0.529178755243422,"negative"
"P22301_P30990",0.623473555988998,"negative"
"P23510_P30990",0.553389649642674,"negative"
"P28161_P30990",0.524579599610479,"negative"
"P30989_P30990",0.608349649697639,"positive"
"P23921_P31350",0.743489428337449,"positive"
"O75056_P31431",0.659790873113501,"positive"
"P20248_P31749",0.680107053665522,"positive"
"P26358_P31749",0.710917741728313,"positive"
"P20248_P31751",0.60558034360022,"positive"
"P13232_P31785",0.612924788980349,"positive"
"P13765_P31785",0.648673054738664,"negative"
"P14784_P31785",0.784646038346453,"positive"
"P23381_P31785",0.579343332013224,"negative"
"P04049_P31946",0.727811456264522,"positive"
"P15248_P31946",0.459672895525337,"negative"
"P30304_P31946",0.61954225223863,"positive"
"P30307_P31946",0.648817986634486,"positive"
"O95256_P31947",0.543140929505403,"negative"
"P11487_P31947",0.662088560885279,"negative"
"O15467_P32246",0.586047370620682,"positive"
"O60907_P32246",0.669807412778272,"negative"
"P10147_P32246",0.797267405502727,"positive"
"P13236_P32246",0.768055391416053,"positive"
"P13500_P32246",0.704276599017634,"positive"
"P13501_P32246",0.798376961800371,"positive"
"P22362_P32246",0.622092184585874,"positive"
"P27540_P32246",0.643487357789548,"negative"
"O00585_P32248",0.690505377807718,"positive"
"O15467_P32302",0.619312246702423,"positive"
"O43927_P32302",0.658451972333441,"positive"
"P10147_P32302",0.645945947915847,"positive"
"P13236_P32302",0.680060890417246,"positive"
"P13501_P32302",0.727873346272817,"positive"
"P15248_P32455",0.534118087855243,"negative"
"P22830_P32455",0.469168276180946,"negative"
"O94817_P32780",0.579711478941651,"negative"
"P18074_P32780",0.72634238269681,"positive"
"P19387_P32780",0.771631485855,"positive"
"P19447_P32780",0.804258592369155,"positive"
"P25774_P32780",0.629532750409776,"negative"
"P29083_P32780",0.740257092939812,"positive"
"O14893_P32927",0.497060186035336,"negative"
"P04141_P32927",0.60054959162465,"positive"
"P05113_P32927",0.563981692410046,"positive"
"P08700_P32927",0.57152412929489,"positive"
"P10398_P32927",0.577541452180757,"negative"
"P28908_P32971",0.750773426479408,"positive"
"P22362_P33151",0.573674742092514,"negative"
"P23381_P33151",0.516525720029854,"positive"
"O95149_P33240",0.692827772376284,"negative"
"P08588_P33240",0.512185910505495,"negative"
"O14757_P33681",0.617560284190996,"negative"
"P14635_P33681",0.628855925626259,"negative"
"P20226_P33681",0.535751006197222,"negative"
"P27708_P33681",0.589126230562118,"negative"
"P25963_P33992",0.61083280055899,"positive"
"O43889_P33993",0.63806395475089,"negative"
"P12643_P33993",0.634730717429033,"negative"
"P25963_P33993",0.680049372835071,"positive"
"O75056_P34741",0.686132809028456,"positive"
"O96020_P34741",0.562722443647375,"negative"
"P08700_P34741",0.547528486080353,"negative"
"P18827_P34741",0.697175681941808,"positive"
"P31431_P34741",0.753433112865191,"positive"
"P19838_P34932",0.52346442060794,"positive"
"P22736_P34932",0.513528173113578,"negative"
"P25963_P34932",0.523317856773879,"positive"
"P25963_P34947",0.647963189621351,"positive"
"P18206_P35221",0.705851332968743,"positive"
"P25963_P35221",0.583847280557875,"positive"
"O14746_P35222",0.705378773409327,"positive"
"O95256_P35222",0.527007790263876,"negative"
"P10275_P35222",0.691703321142879,"positive"
"P10515_P35222",0.611128447209784,"negative"
"P12830_P35222",0.772501040838435,"positive"
"P12931_P35222",0.734653444057947,"positive"
"P19022_P35222",0.631257586001173,"positive"
"P20783_P35222",0.646956719233093,"negative"
"P25054_P35222",0.748466661595724,"positive"
"P29317_P35222",0.721790358048998,"positive"
"P30990_P35222",0.602939565983345,"negative"
"P35221_P35222",0.774854564874405,"positive"
"O43924_P35232",0.605151945331307,"negative"
"P13236_P35232",0.540048519995574,"negative"
"P05109_P35244",0.572840789647357,"negative"
"P15927_P35244",0.823068400953644,"positive"
"P27694_P35244",0.817032554698557,"positive"
"P12004_P35249",0.797983897466147,"positive"
"P10275_P35269",0.664990928359521,"positive"
"P11831_P35269",0.766386606909755,"positive"
"P13498_P35269",0.69187730337987,"negative"
"P19387_P35269",0.717988116477554,"positive"
"P21781_P35269",0.58357352036074,"negative"
"P21917_P35368",0.799287543439785,"positive"
"O00330_P35408",0.507711353031183,"negative"
"O43924_P35408",0.545305084400225,"negative"
"P12931_P35408",0.733944266803445,"positive"
"P00519_P35462",0.613776518710794,"negative"
"P10599_P35462",0.514901686718349,"negative"
"P21333_P35462",0.619980807348665,"positive"
"O43739_P35568",0.669897357115889,"positive"
"P06213_P35568",0.756081966957396,"positive"
"O00330_P35609",0.603718811579502,"negative"
"O96000_P35638",0.546523318569767,"negative"
"P13232_P35638",0.501364531842513,"negative"
"P18848_P35638",0.741957941019352,"positive"
"O14807_P35869",0.538233528059993,"negative"
"P02787_P35869",0.59120733727263,"negative"
"P07900_P35869",0.653977768245895,"positive"
"P35222_P35869",0.684033669658144,"positive"
"O43915_P35916",0.682526508946868,"positive"
"O43915_P35968",0.769352012790439,"positive"
"P09619_P35968",0.805726278913005,"positive"
"O14763_P35998",0.541357255387022,"negative"
"P15260_P35998",0.585559892722716,"negative"
"P12643_P36894",0.802433864565811,"positive"
"P08476_P36896",0.715685083170398,"positive"
"P27037_P36896",0.793937687560713,"positive"
"P01137_P36897",0.72338657208647,"positive"
"P10600_P36897",0.747564179916577,"positive"
"P17813_P36897",0.75979614806243,"positive"
"P01374_P36941",0.726753608869634,"positive"
"P01375_P36941",0.781092611137543,"positive"
"P27540_P36941",0.699006598774287,"negative"
"P01137_P37023",0.714129658480218,"positive"
"P10600_P37023",0.767276703072535,"positive"
"P12081_P37023",0.463985410284266,"negative"
"P17813_P37023",0.781409379555327,"positive"
"P27037_P37023",0.717634514962709,"positive"
"P36578_P37023",0.424605841687904,"negative"
"P01137_P37173",0.752608023327166,"positive"
"P10600_P37173",0.736435989068892,"positive"
"P36897_P37173",0.802162343758462,"positive"
"P37023_P37173",0.739083974347036,"positive"
"O14686_P37198",0.704478523510754,"negative"
"O60894_P37198",0.616681684246724,"negative"
"P13804_P38117",0.83569129237261,"positive"
"O14867_P38398",0.648683338361562,"positive"
"O14965_P38398",0.777913459468641,"positive"
"O75330_P38398",0.771031983084162,"positive"
"P01106_P38398",0.735937850129034,"positive"
"P05412_P38398",0.654813448824433,"positive"
"P10275_P38398",0.663432711507874,"positive"
"P17535_P38398",0.524882544148934,"positive"
"O15234_P38919",0.699945073812537,"positive"
"P09651_P38919",0.725960257303529,"positive"
"O96020_P38936",0.653541041005503,"positive"
"P11802_P38936",0.771555526876789,"positive"
"P12004_P38936",0.700951065331341,"positive"
"P20248_P38936",0.690072790087825,"positive"
"P24385_P38936",0.771868883857002,"positive"
"P24864_P38936",0.697011469548264,"positive"
"P24941_P38936",0.760641044086978,"positive"
"O94817_P39748",0.60771825277563,"negative"
"P12004_P39748",0.798718516061877,"positive"
"P05231_P40189",0.762439809653133,"positive"
"P12235_P40189",0.623039429039822,"negative"
"P13725_P40189",0.654928740650152,"positive"
"P20809_P40189",0.689585742741726,"positive"
"P23458_P40189",0.692304176734129,"positive"
"P29597_P40189",0.570467155978898,"positive"
"P14784_P40933",0.701630632594196,"positive"
"P31785_P40933",0.64599380238025,"positive"
"O60942_P41159",0.495975736934098,"negative"
"P19793_P41159",0.647244384851585,"negative"
"O75143_P41180",0.646947985829312,"negative"
"P21333_P41180",0.612869872921409,"positive"
"O43294_P41236",0.488127452206002,"negative"
"P16581_P41236",0.50654792572754,"negative"
"P36873_P41236",0.602385515453597,"positive"
"P12081_P41273",0.501277880191855,"negative"
"P19838_P41279",0.682750741662354,"positive"
"O43505_P41567",0.576207065528061,"negative"
